Acetivibrionales,uncultured Acetivibrio sp.,293326
Acidaminobacteraceae,uncultured Acidaminobacter sp.,464210
Acidobacteriae,Terriglobia bacterium,2081523
Adiutricales,Candidatus Adiutricaceae bacterium,3041100
Aggregatimonas,Aggregatimonas sp.,2913019
Aldehydirespirator,Candidatus Aldehydirespirator sp.,3101274
Aldehydirespiratoraceae,Candidatus Aldehydirespiratoraceae bacterium,3107022
Alkalispirochaetaceae,Alkalispirochaeta sp.,2024959
Aminiphilaceae,uncultured Aminiphilus sp.,860778
Anaerofustaceae,uncultured Anaerofustis sp.,904996
Anaerotignaceae,uncultured Anaerotignum sp.,2039243
Anammoxibacter_A,Candidatus Anammoxibacter sp.,2945017
Anammoxibacteraceae,Candidatus Anammoxibacteraceae bacterium,3107034
Aquabacterium_A,uncultured Aquabacterium sp.,158753
Aquabacterium_B,uncultured Aquabacterium sp.,158753
Aurantibacter_A,Aurantibacter sp.,2807103
Aureabacteria,Candidatus Auribacterota bacterium,2093365
Azotimanducaceae,Candidatus Azotimanducaceae bacterium,3107047
Azotimanducaceae_A,Candidatus Azotimanducaceae bacterium,3107047
Azophilus,Candidatus Azophilus sp.,3100546
Bacteroides_G,uncultured Bacteroides sp.,162156
Bdellovibrionota_G,Bdellovibrionota bacterium,3034175
Binatia,uncultured Candidatus Binatia bacterium,3036252
Botrimarina,Botrimarina sp.,2795802
Bradymonadia,Bradymonadales bacterium,2099667
Butyricicoccaceae,uncultured Butyricicoccus sp.,1193532
Christensenellales,Christensenellaceae bacterium,2054177
Cloacimonadaceae,Candidatus Cloacimonadaceae bacterium,3064664
Cloacimonadia,Candidatus Cloacimonadales bacterium,3060593
Cognatazoarcus,Cognatazoarcus sp.,2891350
Coraliomargaritaceae,Coraliomargaritaceae bacterium,3107317
Cyanobacteria,Cyanobacteriota bacterium,2847862
Cyanobacteriia,Cyanobacteriota bacterium,2847862
Cyanobiaceae,Prochlorococcaceae cyanobacterium,3080548
Dehalobacteriia,uncultured Dehalobacter sp.,402876
Deianiraeaceae,Candidatus Deianiraeaceae bacterium,3073451
Desulfarculia,Desulfarculia bacterium,3065862
Desulfobacterium_A,uncultured Desulfobacterium sp.,201089
Desulfobacterium_B,uncultured Desulfobacterium sp.,201089
Desulfobacterota_B,Thermodesulfobacteriota bacterium,2202153
Desulfobacterota_D,Thermodesulfobacteriota bacterium,2202153
Desulfobacterota,Thermodesulfobacteriota bacterium,2202153
Desulfobulbus_A marinum,Desulfogranum marinum,453220
Desulfobulbus_A,uncultured Desulfobulbus sp.,239745
Desulfosudaceae,Desulfosudaceae bacterium,3068765
Elsteraceae,uncultured Elstera sp.,1662499
Elsterales,uncultured Elstera sp.,1662499
Enterococcus_A hulanensis,Enterococcus hulanensis,2559929
Enterococcus_A,uncultured Enterococcus sp.,167972
Enterococcus_D casseliflavus,Enterococcus casseliflavus,37734
Enterococcus_D,uncultured Enterococcus sp.,167972
Entotheonellaceae,uncultured Candidatus Entotheonella sp.,312019
Entotheonellales,uncultured Candidatus Entotheonella sp.,312019
Entotheonellia,uncultured Candidatus Entotheonella sp.,312019
Exiguobacterium profundum_A,Exiguobacterium profundum,307643
Firmicutes_B,Bacillota bacterium,1879010
Firmicutes_H,Bacillota bacterium,1879010
Foliamicaceae,Candidatus Foliamicaceae bacterium,3107099
Foliamicales,Candidatus Foliamicales bacterium,3107100
Foliamicus,Candidatus Foliamicus sp.,3101301
Francisella_A,uncultured Francisella sp.,321639
Fusibacter_A,uncultured Fusibacter sp.,291847
Fusibacter_C,uncultured Fusibacter sp.,291847
Gellertiella,uncultured Gellertiella sp.,2040489
Gemmatimonadetes,Gemmatimonadota bacterium,2026742
Geopsychrobacteraceae,Geopsychrobacteraceae bacterium,3065857
Gloeomargaritales,Gloeomargaritales cyanobacterium,3107398
Granulicella_C,uncultured Granulicella sp.,1241325
Haliangiaceae,Kofleriaceae bacterium,2212474
Hoeflea_A,Hoeflea sp.,1940281
Hopanoidiivorans,Candidatus Hopanoidivorans sp.,3101275
Hopanoidiivorantaceae,Candidatus Hopanoidivoransaceae bacterium,3107137
Hormoscilla,uncultured Hormoscilla sp.,1007660
Hydrogenedentia,Candidatus Hydrogenedentes bacterium,2030809
Hydrogenedentiales,Candidatus Hydrogenedentes bacterium,2030809
Hydrogenedentota,Candidatus Hydrogenedentes bacterium,2030809
Hyphococcus,Hyphococcus sp.,2038636
Hyphomicrobium_C,Hyphomicrobium sp.
Ilyobacter_A,uncultured Ilyobacter sp.,544433
Kiloniellales,Rhodospirillales bacterium,2026786
Kiritimatiellae,Kiritimatiellia bacterium,2212473
Krumholzibacteria,Candidatus Krumholzibacteria bacterium,2774603
Latescibacterota,Candidatus Latescibacterota bacterium,2053570
Legionellaceae_A,Legionellaceae bacterium,2026753
Legionellales_A,Legionellales bacterium,2026754
Leptospirae,Leptospiria bacterium,3121827
Lewinella_A,uncultured Lewinella sp.,352149
Lutisporaceae,uncultured Lutispora sp.,1137115
Lutisporales,uncultured Lutispora sp.,1137115
Lyngbya,uncultured Lyngbya sp.,332961
Margulisbacteria,Candidatus Margulisbacteria bacterium,2053573
Marinacidobacteraceae,Candidatus Marinacidobacteraceae bacterium,3107163
Marinacidobacterales,Candidatus Marinacidobacterales bacterium,3107164
Marinacidobacterium,Candidatus Marinacidobacterium sp.,3101293
Marinobacterium georgiense,Marinobacterium iners,48076
Marinomonas ostreistagni_A,Marinomonas ostreistagni,359209
Marisimplicoccus,Candidatus Marisimplicoccus sp.,3101254
Marispirochaeta,Marispirochaeta sp.,2038653
Methyloligellaceae,Methyloligellaceae bacterium,3121867
Micavibrionaceae,uncultured Micavibrio sp.,362447
Microgenomatia,Candidatus Microgenomates bacterium,2093373
Moanabacter,Candidatus Moanabacter sp.,
Moduliflexaceae,uncultured Candidatus Moduliflexus sp.,3071847
Moduliflexales,uncultured Candidatus Moduliflexus sp.,3071847
Moduliflexia,uncultured Candidatus Moduliflexus sp.,3071847
Moduliflexota,uncultured Candidatus Moduliflexus sp.,3071847
Moranbacterales,Candidatus Moranbacteria bacterium,2045217
Multivoraceae,Candidatus Multivoraceae bacterium,3107178
Multivoradales,Candidatus Multivoradales bacterium,3107179
Multivorans,Candidatus Multivorans sp.,3101292
Muricauda,uncultured Allomuricauda sp.,622614
Myxococcota_A,Myxococcota bacterium,2818507
Nitrincolaceae,uncultured Nitrincola sp.,459834
Nitrosarchaeum_A,Nitrosarchaeum sp.,2026886
Nitrosopumilus,Nitrosopumilus sp.,2024843
Nitrospira,Nitrospira sp.,70125
Oceaniferula,Oceaniferula sp.,2886883
Ornithinimicrobium_A,Ornithinimicrobium sp.,1977084
Oscillospirales,Oscillospiraceae bacterium,2485925
Paceibacteria,Candidatus Paceibacterota bacterium,2053589
Pacificispira,Pacificispira sp.,2888761
Palauibacter,Candidatus Palauibacter sp.,3101350
Palauibacteraceae,Candidatus Palauibacteraceae bacterium,3107208
Parashewanella,uncultured Parashewanella sp.,2547967
Parvibaculales,Parvibaculaceae bacterium,2813037
Patescibacteria,Patescibacteria group bacterium,2052139
Pedosphaerales,uncultured Pedosphaera sp.,1191521
Persicitalea,Persicitalea sp.,3100273
Petrotogaceae,Petrotogaceae bacterium,2819251
Petrotogales,Petrotogaceae bacterium,2819251
Phormidesmiaceae,Leptolyngbyaceae cyanobacterium,3088178
Phormidesmis,uncultured Phormidesmis sp.,1519447
Porifericomitaceae,Candidatus Porifericomitaceae bacterium,3107216
Porifericomitales,Candidatus Porifericomitales bacterium,3107217
Porifericomes,Candidatus Porifericomes sp.,3101299
Poriferihabitantaceae,Candidatus Poriferihabitaceae bacterium,3107218
Poriferihabitaceae,Candidatus Poriferihabitaceae bacterium,3107218
Poriferisocius,Candidatus Poriferisocius sp.,3101276
Poriferisodaliceae,Candidatus Poriferisodaliceae bacterium,3107219
Poriferisodalis,Candidatus Poriferisodalis sp.,3101277
Porisulfidales,uncultured candidatus Porisulfidus sp.,3039487
Porisulfidus,uncultured candidatus Porisulfidus sp.,3039487
Promineifilaceae,Candidatus Promineifilaceae bacterium,3085104
Promineofilales,Candidatus Promineofilum sp.,2664178
Pseudodesulfuromonas thiophila,Desulfuromonas thiophila,57664
Pseudohalocynthiibacter,Pseudohalocynthiibacter sp.,3100526
Pseudohongiellaceae,uncultured Pseudohongiella sp.,1772216
Pseudomonadales_A,Pseudomonadales bacterium,1891229
Pseudomonas_A,uncultured Pseudomonas sp.,114707
Pseudomonas_D oceani,Halopseudomonas oceani,1708783
Pseudomonas_D,uncultured Pseudomonas sp.,114707
Pseudomonas_E extremaustralis,Pseudomonas extremaustralis,359110
Pseudomonas_E hunanensis,Pseudomonas hunanensis,1247546
Pseudomonas_E laurentiana,Pseudomonas laurentiana
Pseudomonas_E mohnii,Pseudomonas mohnii,395600
Pseudomonas_E qingdaonensis,Pseudomonas qingdaonensis,2056231
Pseudomonas_E,uncultured Pseudomonas sp.,114707
Pseudopelobacteraceae,Desulfuromonadaceae bacterium,2099677
